"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|SE3","Without Sequence","40.99","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|SE3","Without Sequence","38.35","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|SE3","Without Sequence","40.80","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|SE3","Without Sequence","39.21","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|SE3","Without Sequence","37.36","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|SE3","Without Sequence","36.17","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|SE3","Without Sequence","38.21","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|SE3","Without Sequence","42.58","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|SE3","Without Sequence","49.44","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|SE3","Without Sequence","53.53","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|SE3","Without Sequence","63.48","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|SE3","Without Sequence","64.99","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|SE3","Without Sequence","60.19","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|SE3","Without Sequence","59.96","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|SE3","Without Sequence","59.80","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|SE3","Without Sequence","58.86","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|SE3","Without Sequence","64.99","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|SE3","Without Sequence","68.83","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|SE3","Without Sequence","73.59","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|SE3","Without Sequence","82.28","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|SE3","Without Sequence","82.97","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|SE3","Without Sequence","79.03","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|SE3","Without Sequence","73.23","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|SE3","Without Sequence","67.41","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|SE3","Without Sequence","65.00","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|SE3","Without Sequence","58.12","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|SE3","Without Sequence","58.71","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|SE3","Without Sequence","53.60","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|SE3","Without Sequence","54.44","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|SE3","Without Sequence","55.18","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|SE3","Without Sequence","58.25","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|SE3","Without Sequence","59.15","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|SE3","Without Sequence","72.65","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|SE3","Without Sequence","85.02","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|SE3","Without Sequence","91.47","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|SE3","Without Sequence","94.20","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|SE3","Without Sequence","91.98","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|SE3","Without Sequence","90.40","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|SE3","Without Sequence","86.69","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|SE3","Without Sequence","85.96","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|SE3","Without Sequence","92.11","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|SE3","Without Sequence","98.62","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|SE3","Without Sequence","105.73","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|SE3","Without Sequence","133.23","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|SE3","Without Sequence","144.65","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|SE3","Without Sequence","125.00","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|SE3","Without Sequence","103.59","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|SE3","Without Sequence","100.01","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|SE3","Without Sequence","94.86","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|SE3","Without Sequence","88.83","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|SE3","Without Sequence","88.83","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|SE3","Without Sequence","83.09","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|SE3","Without Sequence","80.00","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|SE3","Without Sequence","80.17","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|SE3","Without Sequence","82.49","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|SE3","Without Sequence","88.14","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|SE3","Without Sequence","109.79","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|SE3","Without Sequence","165.01","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|SE3","Without Sequence","299.01","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|SE3","Without Sequence","249.12","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|SE3","Without Sequence","255.86","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|SE3","Without Sequence","211.11","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|SE3","Without Sequence","203.28","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|SE3","Without Sequence","196.98","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|SE3","Without Sequence","197.86","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|SE3","Without Sequence","299.94","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|SE3","Without Sequence","449.64","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|SE3","Without Sequence","526.25","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|SE3","Without Sequence","349.95","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|SE3","Without Sequence","181.91","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|SE3","Without Sequence","149.60","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|SE3","Without Sequence","112.82","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|SE3","Without Sequence","100.10","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|SE3","Without Sequence","92.87","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|SE3","Without Sequence","84.88","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|SE3","Without Sequence","83.20","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|SE3","Without Sequence","82.03","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|SE3","Without Sequence","82.18","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|SE3","Without Sequence","82.53","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|SE3","Without Sequence","84.13","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|SE3","Without Sequence","84.48","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|SE3","Without Sequence","87.43","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|SE3","Without Sequence","90.87","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|SE3","Without Sequence","94.98","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|SE3","Without Sequence","100.41","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|SE3","Without Sequence","103.65","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|SE3","Without Sequence","102.33","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|SE3","Without Sequence","97.75","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|SE3","Without Sequence","95.51","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|SE3","Without Sequence","98.50","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|SE3","Without Sequence","110.00","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|SE3","Without Sequence","118.27","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|SE3","Without Sequence","106.94","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|SE3","Without Sequence","102.27","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|SE3","Without Sequence","94.98","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|SE3","Without Sequence","90.63","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|SE3","Without Sequence","89.34","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|SE3","Without Sequence","82.80","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|SE3","Without Sequence","86.15","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|SE3","Without Sequence","82.46","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|SE3","Without Sequence","79.22","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|SE3","Without Sequence","77.53","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|SE3","Without Sequence","76.89","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|SE3","Without Sequence","77.42","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|SE3","Without Sequence","78.45","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|SE3","Without Sequence","80.37","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|SE3","Without Sequence","84.21","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|SE3","Without Sequence","87.57","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|SE3","Without Sequence","89.75","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|SE3","Without Sequence","91.99","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|SE3","Without Sequence","91.50","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|SE3","Without Sequence","87.52","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|SE3","Without Sequence","87.23","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|SE3","Without Sequence","90.64","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|SE3","Without Sequence","96.21","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|SE3","Without Sequence","104.27","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|SE3","Without Sequence","106.09","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|SE3","Without Sequence","103.55","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|SE3","Without Sequence","100.50","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|SE3","Without Sequence","93.31","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|SE3","Without Sequence","91.17","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|SE3","Without Sequence","83.86","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|SE3","Without Sequence","87.02","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|SE3","Without Sequence","84.32","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|SE3","Without Sequence","81.82","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|SE3","Without Sequence","79.11","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|SE3","Without Sequence","78.48","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|SE3","Without Sequence","82.10","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|SE3","Without Sequence","94.30","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|SE3","Without Sequence","111.22","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|SE3","Without Sequence","121.11","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|SE3","Without Sequence","120.73","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|SE3","Without Sequence","113.90","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|SE3","Without Sequence","105.54","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|SE3","Without Sequence","97.84","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|SE3","Without Sequence","94.88","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|SE3","Without Sequence","102.46","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|SE3","Without Sequence","110.64","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|SE3","Without Sequence","128.00","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|SE3","Without Sequence","132.31","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|SE3","Without Sequence","130.01","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|SE3","Without Sequence","122.12","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|SE3","Without Sequence","114.21","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|SE3","Without Sequence","99.85","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|SE3","Without Sequence","97.08","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|SE3","Without Sequence","88.83","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|SE3","Without Sequence","85.43","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|SE3","Without Sequence","73.92","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|SE3","Without Sequence","40.59","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|SE3","Without Sequence","29.17","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|SE3","Without Sequence","26.88","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|SE3","Without Sequence","40.51","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|SE3","Without Sequence","88.98","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|SE3","Without Sequence","94.88","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|SE3","Without Sequence","129.11","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|SE3","Without Sequence","117.16","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|SE3","Without Sequence","109.91","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|SE3","Without Sequence","102.50","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|SE3","Without Sequence","97.11","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|SE3","Without Sequence","97.69","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|SE3","Without Sequence","107.45","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|SE3","Without Sequence","115.69","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|SE3","Without Sequence","123.88","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|SE3","Without Sequence","133.56","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|SE3","Without Sequence","133.53","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|SE3","Without Sequence","126.38","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|SE3","Without Sequence","116.51","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|SE3","Without Sequence","99.96","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|SE3","Without Sequence","89.98","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|SE3","Without Sequence","50.92","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|SE3","Without Sequence","37.99","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|SE3","Without Sequence","34.60","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|SE3","Without Sequence","27.99","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|SE3","Without Sequence","27.40","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|SE3","Without Sequence","32.11","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|SE3","Without Sequence","80.00","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|SE3","Without Sequence","82.74","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|SE3","Without Sequence","96.89","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|SE3","Without Sequence","136.90","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|SE3","Without Sequence","126.35","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|SE3","Without Sequence","114.88","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|SE3","Without Sequence","105.97","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|SE3","Without Sequence","98.82","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|SE3","Without Sequence","91.49","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|SE3","Without Sequence","94.99","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|SE3","Without Sequence","99.32","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|SE3","Without Sequence","122.06","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|SE3","Without Sequence","139.19","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|SE3","Without Sequence","94.92","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|SE3","Without Sequence","42.93","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|SE3","Without Sequence","25.09","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|SE3","Without Sequence","25.32","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|SE3","Without Sequence","24.43","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|SE3","Without Sequence","21.50","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|SE3","Without Sequence","21.09","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|SE3","Without Sequence","21.85","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|SE3","Without Sequence","24.39","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|SE3","Without Sequence","27.01","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|SE3","Without Sequence","28.77","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|SE3","Without Sequence","34.36","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|SE3","Without Sequence","41.94","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|SE3","Without Sequence","53.51","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|SE3","Without Sequence","89.99","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|SE3","Without Sequence","125.03","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|SE3","Without Sequence","110.01","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|SE3","Without Sequence","103.29","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|SE3","Without Sequence","96.30","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|SE3","Without Sequence","95.93","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|SE3","Without Sequence","102.69","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|SE3","Without Sequence","117.96","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|SE3","Without Sequence","137.35","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|SE3","Without Sequence","150.09","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|SE3","Without Sequence","136.69","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|SE3","Without Sequence","132.31","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|SE3","Without Sequence","117.88","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|SE3","Without Sequence","103.76","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|SE3","Without Sequence","94.49","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|SE3","Without Sequence","85.74","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|SE3","Without Sequence","86.53","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|SE3","Without Sequence","83.30","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|SE3","Without Sequence","81.25","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|SE3","Without Sequence","79.84","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|SE3","Without Sequence","79.98","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|SE3","Without Sequence","81.80","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|SE3","Without Sequence","86.66","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|SE3","Without Sequence","111.86","",""
